Name,Country,Group,Pot,Lat,Long
Colo-Colo,Chile,8,4,-33.5064746,-70.6049202
Club Nacional de Football,Uruguay,8,4,-34.8844576,-56.1587294
Palestino,Chile,8,4,-33.5207156,-70.673129
Botafogo,Brazil,8,4,-22.893194,-43.2935691
Cobresal,Chile,7,4,-26.2518836,-69.6287189
Huachipato FC,Chile,7,4,-36.7550231,-73.1075211
Liverpool F.C.,Uruguay,7,4,-34.8549584,-56.2257723
Caracas FC,Venezuela,7,4,10.48801,-66.87919
Talleres,Argentina,6,3,-31.3688468,-64.2461451
Millonarios Fútbol Club,Colombia,6,3,4.6459494,-74.0776054
Alianza Lima,Peru,6,3,-12.068526,-77.022917
Rosario Central,Argentina,6,3,-32.914023,-60.674499
Deportivo Táchira,Venezuela,5,3,7.790634968959921,-72.20027790783185
Universitario,Peru,5,3,-12.0556474,-76.9353339
The Strongest,Bolivia,5,3,-18.4842199,-64.1037955
San Lorenzo,Argentina,5,3,-34.6520812,-58.4400447
Junior FC,Colombia,4,2,10.9269548,-74.8005111
Club Bolívar,Bolivia,4,2,-16.4994503,-68.1228532
Barcelona SC,Ecuador,4,2,-2.1858223,-79.92497
Estudiantes,Argentina,4,2,-34.9119094,-57.9388416
Cerro Porteño,Paraguay,3,2,-25.2999926,-57.6376558
Club Libertad,Paraguay,3,2,-25.277805609684123,-57.610971472257134
Independiente del Valle,Ecuador,3,2,-0.3493218,-78.470706
Atlético Mineiro,Brazil,3,2,-19.9300116,-44.0138813
L.D.U. Quito,Ecuador,2,1,-0.1077231,-78.4890768
São Paulo FC,Brazil,2,1,-23.6000584,-46.7201583
Peñarol,Uruguay,2,1,-34.7974209,-56.066282
Grêmio,Brazil,2,1,-29.9740429,-51.1951073
CR Flamengo,Brazil,1,1,-22.9121619,-43.2311861
River Plate,Argentina,1,1,-34.54535260539619,-58.449756596436686
Palmeiras,Brazil,1,1,-23.5274971,-46.6785281
Fluminense FC,Brazil,1,1,-22.91236,-43.22893
